Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
INVIA.CZ as,"Wirtualna Polska Holding SA
Wirtualna Polska Media SA","Rockaway Capital SE
CITIC Europe Holdings as",239.70,23/12/2024,,239.70,1.3x,6.5x,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Petrofac Ltd,Creditors,,681.97,23/12/2024,,681.97,0.4x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Esteve Teijin Healthcare SL,"Nippon Sanso Holdings Corp
Oximesa SLU",Teijin Ltd,62.00,20/12/2024,,62.00,3.4x,-,124.0x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Grounds Real Estate Development AG,HIG Capital LLC,,143.37,19/12/2024,,143.37,9.1x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Belships ASA,EnTrust Global Ltd,,850.69,19/12/2024,,850.69,2.1x,5.8x,8.3x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Crayon Group Holding ASA,SoftwareONE Holding AG,,"1,040.03",19/12/2024,,"1,040.03",1.7x,14.0x,17.7x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Orascom Development Holding AG,Sawiris Family Office,,80.24,17/12/2024,,80.24,0.9x,3.7x,4.3x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Todd & Duncan Limited,"Chanel SA
Barrie Knitwear Ltd",,22.74,17/12/2024,17/12/2024,22.74,1.1x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Grenevia SA,TDJ SA,,141.29,16/12/2024,,141.29,1.3x,3.5x,7.1x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Hummingbird Resources Plc,"Nioko Resources Corp
CIG SA",,15.23,16/12/2024,,15.23,0.4x,6.1x,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Ricardo US Holdings Inc,"Gladstone Investment Corp
Proteus Enterprises LLC",Ricardo plc,81.13,16/12/2024,02/01/2025,81.13,0.8x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Deutsche Wohnen SE,Vonovia SE,,"1,296.50",14/12/2024,,"1,296.50",12.3x,25.7x,36.5x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
GlasPort Bio Ltd,Roebuck Food Group plc,,2.25,13/12/2024,,2.25,200.9x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Minor Hotels Europe & Americas SA,"Minor International pcl
MHG Continental Holding (Singapore) Pte Ltd","Global Income SA SPF
Heritage SICAV plc",114.77,13/12/2024,,114.77,2.2x,7.7x,14.0x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Corporacion Financiera Alba SA,"Corporacion Financiera Alba SA
March Delgado Carlos (Private Individual)",,281.53,12/12/2024,,281.53,33.3x,54.2x,54.6x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Tullow Oil plc,Kosmos Energy Ltd,,,12/12/2024,,,1.6x,2.0x,5.9x,
Auction Technology Group plc,Undisclosed Acquirer,TA Associates Management LP,102.30,12/12/2024,16/12/2024,102.30,5.7x,16.8x,34.1x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
MPC Muenchmeyer Petersen Capital AG,"Castor Maritime Inc
Thalvora Holdings GmbH",MPC Muenchmeyer Petersen & Co GmbH,182.81,12/12/2024,,182.81,5.1x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Leden Group Oy,Hanza AB,,50.00,12/12/2024,,50.00,0.6x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Teranga Software SAS,Orisha SAS,"Existing Management
Bpifrance SA
Extens Conseil SAS",200.00,11/12/2024,,200.00,8.0x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
ABOUT YOU Holding SE,Zalando SE,"Otto (GmbH & Co KG)
Heartland A/S
Otto Family (Private Individual)","1,132.05",11/12/2024,,"1,132.05",0.6x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Spar Nord Bank A/S,"Nykredit Realkredit A/S
Forenet Kredit fmba",,"2,671.38",10/12/2024,,"2,671.38",4.1x,7.3x,7.5x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Beghelli S.p.A.,"Gewiss SpA
Polifin SpA","Gian Pietro Beghelli
Luca Beghelli (Private Individual)
Graziano Beghelli (Private Individual)
Maurizio Beghelli (Private Individual)",103.54,10/12/2024,,103.54,0.7x,11.9x,232.2x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
CompuGroup Medical SE & Co KGaA,CVC Advisers Ltd,,545.92,08/12/2024,,545.92,1.6x,11.1x,19.3x,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
